Año,Trimestre,Provincia,Accesos por cada 100 hab,Total suma Mbps,CrecimientoAcceso
2022,1,San Luis,23,119844,4.55
2022,2,San Luis,23,121741,0.0
2022,3,San Luis,23,122070,0.0
2022,4,San Luis,25,135220,8.7
2021,1,San Luis,23,119154,0.0
2021,2,San Luis,23,122818,0.0
2021,3,San Luis,22,117864,-4.35
2021,4,San Luis,22,118849,0.0
2020,1,San Luis,21,110454,0.0
2020,2,San Luis,22,113952,4.76
2020,3,San Luis,22,116565,0.0
2020,4,San Luis,23,119435,4.55
2019,1,San Luis,19,98701,0.0
2019,2,San Luis,23,117383,21.05
2019,3,San Luis,24,122702,4.35
2019,4,San Luis,21,108201,-12.5
2018,1,San Luis,4,21382,33.33
2018,2,San Luis,4,21454,0.0
2018,3,San Luis,14,74362,250.0
2018,4,San Luis,19,96331,35.71
2017,1,San Luis,2,14029,0.0
2017,2,San Luis,2,14029,0.0
2017,3,San Luis,4,12406,100.0
2017,4,San Luis,3,14900,-25.0
2016,1,San Luis,2,13660,0.0
2016,2,San Luis,2,13950,0.0
2016,3,San Luis,2,14091,0.0
2016,4,San Luis,2,14029,0.0
2015,1,San Luis,2,12741,0.0
2015,2,San Luis,2,13220,0.0
2015,3,San Luis,2,13302,0.0
2015,4,San Luis,2,13488,0.0
2014,1,San Luis,2,12557,0.0
2014,2,San Luis,2,13055,0.0
2014,3,San Luis,2,13040,0.0
2014,4,San Luis,2,13147,0.0
2023,1,San Juan,12,101767,0.0
2023,2,San Juan,12,97449,0.0
2023,3,San Juan,12,103730,0.0
2022,1,San Juan,11,88178,10.0
2022,2,San Juan,12,100407,9.09
2022,3,San Juan,12,103399,0.0
2022,4,San Juan,12,103826,0.0
2021,1,San Juan,9,78267,0.0
2021,2,San Juan,10,78933,11.11
2021,3,San Juan,10,79483,0.0
2021,4,San Juan,10,79958,0.0
2020,1,San Juan,8,67861,0.0
2020,2,San Juan,8,69777,0.0
2020,3,San Juan,9,77327,12.5
2020,4,San Juan,9,72596,0.0
2019,1,San Juan,8,63982,0.0
2019,2,San Juan,9,70240,12.5
2019,3,San Juan,9,76968,0.0
2019,4,San Juan,8,64974,-11.11
2018,1,San Juan,8,63240,14.29
2018,2,San Juan,8,64073,0.0
2018,3,San Juan,8,64369,0.0
2018,4,San Juan,8,62398,0.0
2017,1,San Juan,6,58792,0.0
2017,2,San Juan,6,58800,0.0
2017,3,San Juan,8,58695,33.33
2017,4,San Juan,7,58622,-12.5
2016,1,San Juan,6,56767,-14.29
2016,2,San Juan,6,57876,0.0
2016,3,San Juan,6,58832,0.0
2016,4,San Juan,6,58840,0.0
2015,1,San Juan,7,51801,0.0
2015,2,San Juan,7,51988,0.0
2015,3,San Juan,7,55365,0.0
2015,4,San Juan,7,56158,0.0
2014,1,San Juan,7,51589,0.0
2014,2,San Juan,7,51646,0.0
2014,3,San Juan,7,51771,0.0
2014,4,San Juan,7,52119,0.0
2023,1,Salta,13,205426,-7.14
2023,2,Salta,13,205328,0.0
2023,3,Salta,13,206233,0.0
2022,1,Salta,13,197515,0.0
2022,2,Salta,13,203177,0.0
2022,3,Salta,13,204541,0.0
2022,4,Salta,14,205860,7.69
2021,1,Salta,13,187574,0.0
2021,2,Salta,13,191639,0.0
2021,3,Salta,13,195833,0.0
2021,4,Salta,13,199405,0.0
2020,1,Salta,12,170695,0.0
2020,2,Salta,12,177762,0.0
2020,3,Salta,12,180846,0.0
2020,4,Salta,13,187390,8.33
