Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Longitud,Latitud
SANTA FE,Rosario,Villa Amelia,82084290,172,109,0,2,0,0,0,2,285,-60.6677297311463,-33.1771929125315
SANTA FE,Rosario,Villa del Plata,82084300,0,0,0,231,101,0,0,0,332,-60.7090282248961,-33.1271769621356
SANTA FE,Rosario,Villa Gobernador Gálvez,82084310,0,17,0,21,0,0,0,39,77,-60.6336422555152,-33.0224078611601
SANTA FE,Rosario,Zavalla,82084320,189,932,0,0,0,0,0,95,1216,-60.879303488531,-33.0215698285974
SANTA FE,Rosario,Albarellos,82084020,0,0,0,0,0,0,0,20,20,-60.6365751407418,-33.2413031665306
SANTA FE,Rosario,Coronel Rodolfo S. Domínguez,82084100,0,318,0,0,0,0,0,0,318,-60.7228633313771,-33.1854760061025
SANTA FE,Rosario,Kilómetro 101,82084180,1,0,0,0,0,1,0,0,2,-60.6856440118334,-33.060584803082
SANTA FE,Rosario,Arbilla,82084050,31,0,0,0,0,0,0,0,31,-60.6993159324653,-33.0919516648506
SANTA FE,Rosario,Monte Flores,82084200,9,0,0,0,0,0,0,0,9,-60.6355226681116,-33.0800073993365
SANTA FE,San Cristóbal,Aguará Grande,82091010,0,0,0,0,0,1,0,2,3,-60.9437539322397,-30.1093090599224
SANTA FE,San Cristóbal,Ambrosetti,82091020,0,0,0,0,0,1,0,84,85,-61.5765785011442,-30.016999568893
SANTA FE,San Cristóbal,Arrufo,82091030,140,166,0,137,0,0,0,0,443,-61.7285807001253,-30.2341495301456
SANTA FE,San Cristóbal,Balneario La Verde,82091040,0,0,0,0,0,1,0,0,1,-61.2428659094376,-29.9827373481556
SANTA FE,San Cristóbal,Capivara,82091050,0,0,0,0,0,1,0,0,1,-61.2722735128607,-30.4615028173869
SANTA FE,San Cristóbal,Ceres,82091060,885,1939,0,0,0,0,0,610,3434,-61.9452374270961,-29.8823371283479
SANTA FE,San Cristóbal,Colonia Bossi,82091080,56,0,0,78,0,0,0,111,245,-61.7896030300364,-30.6691245233432
SANTA FE,San Cristóbal,Hersilia,82091120,0,213,0,0,0,0,0,370,583,-61.8396467676821,-30.0056765366847
SANTA FE,San Cristóbal,Huanqueros,82091130,0,0,0,0,0,0,0,32,32,-61.2192947646911,-30.0136747533996
SANTA FE,San Cristóbal,La Cabral,82091140,0,0,0,0,1,1,0,2,4,-61.1797070550573,-30.0876438007142
SANTA FE,San Cristóbal,La Rubia,82091150,0,31,0,0,0,0,0,12,43,-61.7927608545145,-30.1113966728017
SANTA FE,San Cristóbal,Las Palmeras,82091170,0,0,0,0,0,0,0,97,97,-61.6277233886562,-30.6326345828984
SANTA FE,San Cristóbal,Moisés Ville,82091180,95,352,0,240,0,0,0,1,688,-61.469140085345,-30.7182008702613
SANTA FE,San Cristóbal,Monigotes,82091190,0,0,0,48,0,0,0,12,60,-61.6348224695165,-30.4901359922347
SANTA FE,San Cristóbal,Ñanducita,82091200,0,0,0,0,0,0,0,39,39,-61.1326015812096,-30.37245992257
SANTA FE,San Cristóbal,Palacios,82091210,2,0,0,36,0,0,0,39,77,-61.6236952048733,-30.7106694051354
SANTA FE,San Cristóbal,San Cristóbal,82091220,658,1154,0,1047,0,1,0,451,3311,-61.2386444593771,-30.311687011314
SANTA FE,San Cristóbal,San Guillermo,82091230,887,1478,0,224,0,0,0,248,2837,-61.9178272634037,-30.3602098529676
SANTA FE,San Cristóbal,Santurce,82091240,0,0,0,0,0,0,0,33,33,-61.178528021881,-30.1866452738191
SANTA FE,San Cristóbal,Soledad,82091250,0,0,0,0,0,0,0,201,201,-60.9166112630514,-30.6225538384456
SANTA FE,San Cristóbal,Suardi,82091260,0,0,0,1560,0,0,0,0,1560,-61.9616805839765,-30.5361453460922
SANTA FE,San Cristóbal,Villa Saralegui,82091270,0,0,0,0,3,0,0,52,55,-60.7477102618236,-30.5427027882285
SANTA FE,San Cristóbal,Curupaity,82091110,0,0,0,0,0,0,0,15,15,-61.6518044215673,-30.397911889967
SANTA FE,San Cristóbal,Colonia Ana,82091070,0,0,0,0,0,0,0,6,6,-61.9147917462344,-30.1449998391803
SANTA FE,San Cristóbal,Colonia Rosa,82091090,0,0,0,0,0,0,0,12,12,-61.9844913702309,-30.3022785889636
